split,ratio,b_harmonic,b_original,DEF,target
0.5,1,3.306477957865451,4.119915558101243,1.2460133140463818,0.05401738069325353
0.5,5,4.878626826547311,4.986386740005039,1.0220881648236235,0.05401738069325353
0.5,10,2.460937558141627,4.522066755290148,1.8375381936569652,0.05401738069325353
0.5,20,2.620526187341065,4.62871462268172,1.7663302297994883,0.05401738069325353
0.5,50,2.0,3.887295814356408,1.943647907178204,0.05401738069325353
0.5,100,2.848188301472274,4.576591904303671,1.6068431648068904,0.05401738069325353
0.7,1,9.607813648884042,9.705273635031576,1.010143825609987,0.05401738069325353
0.7,5,3.5226380004165785,4.332782484353842,1.2299823268361547,0.05401738069325353
0.7,10,2.097900078866145,3.8829643050839104,1.8508814333914998,0.05401738069325353
0.7,20,2.4196938673347854,3.8051925615305078,1.57259255515732,0.05401738069325353
0.7,50,2.0,2.9937828412395433,1.4968914206197717,0.05401738069325353
0.7,100,2.0,2.0,1.0,0.05401738069325353
0.8,1,5.237302332546275,4.908856187824909,0.9372871520743997,0.05401738069325353
0.8,5,2.0,2.0,1.0,0.05401738069325353
0.8,10,2.4336486424282575,2.8323338908835463,1.1638220248825593,0.05401738069325353
0.8,20,2.1829015448716436,3.3970055497038953,1.5561881650982303,0.05401738069325353
0.8,50,2.0,2.651753787388651,1.3258768936943255,0.05401738069325353
0.8,100,2.590017495558874,4.0896853664806505,1.5790184326913892,0.05401738069325353
0.9,1,6.3713759002430095,6.338610693455807,0.9948574362429388,0.05401738069325353
0.9,5,2.3439198665485774,3.15622365089429,1.3465578307255999,0.05401738069325353
0.9,10,2.0,2.0,1.0,0.05401738069325353
0.9,20,2.0,2.6161234788308287,1.3080617394154144,0.05401738069325353
0.9,50,2.0,2.7034153306092294,1.3517076653046147,0.05401738069325353
0.9,100,2.0,2.0,1.0,0.05401738069325353
0.95,1,6.453063927347115,4.995593437841965,0.7741428713686519,0.05401738069325353
0.95,5,2.0,2.0,1.0,0.05401738069325353
0.95,10,2.0,2.563001914253844,1.281500957126922,0.05401738069325353
0.95,20,2.0,2.0,1.0,0.05401738069325353
0.95,50,2.0,2.0,1.0,0.05401738069325353
0.95,100,2.0,2.396034323096789,1.1980171615483945,0.05401738069325353
