config,position_k,imbalance_ratio,traffic_split,alpha,beta,D_k,D_kp,term1,term2,total
systematic,5,100,0.8,4.0,5.000000000000001,-3.941878310307522e-06,-0.0007265753374628373,-0.003652586078865725,3.941878310307525e-06,-0.0036486442005554173
systematic,5,100,0.95,4.0,5.000000000000001,-6.740319426084148e-06,-0.0007044147981861786,-0.0035557755880613147,6.740319426084154e-06,-0.0035490352686352307
adversarial_mixed,5,1,,4.0,5.000000000000001,-3.99091715346261e-05,-4.539081812395245e-05,-0.00042649994829289283,3.990917153462614e-05,-0.00038659077675826667
adversarial_mixed,5,2,,4.0,5.000000000000001,-2.8333846162599367e-05,-2.4129931497328774e-05,-0.00026231888829964076,2.833384616259939e-05,-0.00023398504213704136
adversarial_mixed,5,5,,4.0,5.000000000000001,-3.824995495494256e-05,-6.851512899542166e-06,-0.00022550733927242367,3.8249954954942596e-05,-0.00018725738431748108
adversarial_mixed,5,10,,4.0,5.000000000000001,-1.6489275619231605e-05,-3.326805411026605e-05,-0.00024878664864748834,1.6489275619231618e-05,-0.00023229737302825674
adversarial_mixed,5,20,,4.0,5.000000000000001,-2.194458739255699e-05,-3.172766331328936e-05,-0.0002683612535292318,2.194458739255701e-05,-0.0002464166661366748
adversarial_mixed,5,50,,4.0,5.000000000000001,-4.015129956923513e-05,-1.389449479573959e-05,-0.00027022897182487363,4.0151299569235164e-05,-0.00023007767225563847
adversarial_mixed,5,100,,4.0,5.000000000000001,-4.2328249594029044e-05,-5.855323374359819e-06,-0.00024091786484194437,4.2328249594029085e-05,-0.00019858961524791527
systematic,6,1,0.6,5.000000000000001,6.000000000000001,8.068461266421616e-06,-0.0006693877313961043,-0.003967915620778096,-8.068461266421616e-06,-0.003975984082044518
systematic,6,1,0.8,5.000000000000001,6.000000000000001,1.6968754941727206e-05,-0.000987906229987675,-0.005825624850275687,-1.6968754941727206e-05,-0.0058425936052174145
systematic,6,1,0.95,5.000000000000001,6.000000000000001,2.9601835014261054e-05,-0.0010837017138758313,-0.006324599273169423,-2.9601835014261054e-05,-0.0063542011081836845
systematic,6,2,0.6,5.000000000000001,6.000000000000001,1.708463061203243e-05,-0.0006444551152502014,-0.003764222907829014,-1.708463061203243e-05,-0.0037813075384410463
systematic,6,2,0.8,5.000000000000001,6.000000000000001,1.4430199753212298e-05,-0.00037164650457492785,-0.0021432978289302935,-1.4430199753212298e-05,-0.002157728028683506
systematic,6,2,0.95,5.000000000000001,6.000000000000001,4.353985028760556e-05,-0.00124641352546091,-0.007217242051039828,-4.353985028760556e-05,-0.007260781901327434
systematic,6,5,0.6,5.000000000000001,6.000000000000001,-1.2742227309429032e-06,-0.0005682863385739173,-0.0034173633678291617,1.2742227309429032e-06,-0.003416089145098219
systematic,6,5,0.8,5.000000000000001,6.000000000000001,1.2479952126189957e-05,-0.0005559525808153837,-0.003260835772135163,-1.2479952126189957e-05,-0.003273315724261353
systematic,6,5,0.95,5.000000000000001,6.000000000000001,2.1593048061107104e-05,-0.0007400415236825947,-0.004310690853728926,-2.1593048061107104e-05,-0.004332283901790033
systematic,6,10,0.6,5.000000000000001,6.000000000000001,-3.2771206257125815e-05,-0.00036147517792675925,-0.002365478305103311,3.2771206257125815e-05,-0.002332707098846185
systematic,6,10,0.8,5.000000000000001,6.000000000000001,6.462423362367482e-06,-0.0005195362642940364,-0.0030784430455900146,-6.462423362367482e-06,-0.003084905468952382
systematic,6,10,0.95,5.000000000000001,6.000000000000001,3.024797358098754e-06,-0.0012938020054255113,-0.007744663248404476,-3.024797358098754e-06,-0.007747688045762575
systematic,6,20,0.6,5.000000000000001,6.000000000000001,1.92875537526074e-06,-0.0008325676807033828,-0.004983833551968733,-1.92875537526074e-06,-0.0049857623073439935
systematic,6,20,0.8,5.000000000000001,6.000000000000001,1.125898307601555e-05,-0.0009842268938411408,-0.005837807464590753,-1.125898307601555e-05,-0.005849066447666768
