k,kp,scheme,n_pairs,mean,std,lo,hi
1,2,uniform,21841,1.5381146082581811,0.058292937619260375,1.4303609267799355,1.6644696151582283
1,2,min,21841,1.705336729831933,0.04657873080536112,1.6179290000480135,1.7968995468031903
1,2,harmonic,21841,1.7129741500678304,0.04710161764657083,1.6237966805883208,1.8095973517401116
2,3,uniform,7993,1.911581846538426,0.18499263058579862,1.5818662126769836,2.3195701472383905
2,3,min,7993,1.8364330334881258,0.14420595494117502,1.5712309332374177,2.125445920176843
2,3,harmonic,7993,1.8533947218677227,0.1431818533908245,1.590690332517978,2.148860131335643
