quartile,n,V_uniform,V_harmonic,ARE_h_over_u,f
1,1987209,2.2933692419568397e-05,2.2515385946402716e-05,1.018578694327579,1.0
2,1380054,1.875083726160934e-05,1.7209880477057936e-05,1.0895390753355676,1.0
3,1245809,8.112496442495072e-06,1.6279644807173143e-06,4.983214645396035,1.0
