f,scheme,n_imp,Vk_plus_Vkp,R_hat,click_std,qad_std,query_std
0.001,full_oracle,235619.5,0.00025443695693826065,1.5187353230955933,2.3597864704473564e-08,0.24315483179296843,0.24298225342646976
0.001,harmonic,235619.5,0.0001472785453324331,1.8933364444697056,0.09797082058951244,0.12903225644244146,0.14115269301256467
0.001,oracle_a0.05_b1.0,235619.5,0.00022091044409983037,1.86058878757653,0.10452764590893962,0.13224779720353882,0.13591398240405053
0.001,oracle_a0.1_b0.7,235619.5,0.0001783643759684879,1.8701961900326172,0.09956568454988199,0.12787748229301282,0.13361594202360794
0.001,oracle_a0.5_b1.0,235619.5,0.0001510285496555412,1.882165159417377,0.09666970694339888,0.1260255309380422,0.13612028164485374
0.001,uniform,235619.5,0.00032449397889001985,1.6811806159261657,0.053518480175575374,0.14512462177169644,0.1453645219782056
0.01,full_oracle,2354019.5,1.925199621821263e-05,1.6343038312695037,1.0384078664541473e-08,0.07897073493094471,0.07781419121928018
0.01,harmonic,2354019.5,9.331717005143195e-06,1.7852396571537996,0.0236651049311417,0.038862015341073114,0.0515378550890566
0.01,oracle_a0.05_b1.0,2354019.5,1.3779262788840576e-05,1.80725866259936,0.02533237488703349,0.040014060380878,0.05328799549438022
0.01,oracle_a0.1_b0.7,2354019.5,1.118224865365124e-05,1.8027212294800496,0.02391324453459389,0.03758511365409699,0.051801375936526395
0.01,oracle_a0.5_b1.0,2354019.5,9.56034009745987e-06,1.7926839484411357,0.02334127075740724,0.03746150836936661,0.05118200839631035
0.01,uniform,2354019.5,2.4816133033978006e-05,1.597621631331784,0.013970479065518746,0.03963369340796484,0.04240829125042079
0.1,full_oracle,23563949.0,1.6643264303922862e-06,1.6865231769842222,7.617983278480746e-09,0.028504021380679076,0.02929261145920881
0.1,harmonic,23563949.0,6.704556021543732e-07,1.71795246846671,0.006376423146104352,0.019938456691604777,0.02880635124162514
0.1,oracle_a0.05_b1.0,23563949.0,9.855878206491061e-07,1.7311208481144296,0.007216130192793956,0.02129380080185047,0.03107406411981244
0.1,oracle_a0.1_b0.7,23563949.0,8.011978990410082e-07,1.7268123232200967,0.006703912104132407,0.01946679464486641,0.02939155265292924
0.1,oracle_a0.5_b1.0,23563949.0,6.868096262513407e-07,1.7211759215473956,0.0063868542094068555,0.019069114947367904,0.028579245736599396
0.1,uniform,23563949.0,2.3215144670411008e-06,1.5440758287228955,0.005102635268856739,0.01256391022257737,0.013693073232192526
1.0,full_oracle,235582879.0,1.735670033791508e-07,1.740491688435064,1.361402637931758e-07,0.010615795801473128,0.01085891605932998
1.0,harmonic,235582879.0,5.369680756208591e-08,1.6790349472740533,0.0019601102606961835,0.013517750287484528,0.024659615269557966
1.0,oracle_a0.05_b1.0,235582879.0,7.932764674634457e-08,1.6911412422530696,0.002172255384432326,0.013186955076542196,0.026292292231500855
1.0,oracle_a0.1_b0.7,235582879.0,6.423604078395434e-08,1.6887837505245438,0.002031442857207887,0.012355466617631521,0.025246169399703595
1.0,oracle_a0.5_b1.0,235582879.0,5.5019537534377245e-08,1.6830122778924699,0.0019556832787051724,0.01263391468421843,0.02458994691725242
1.0,uniform,235582879.0,2.5997654069345166e-07,1.5415161831419761,0.00165774191655129,0.004363194102155531,0.004553470993074784
