k,kp,scheme,n_pairs,mean,std,lo,hi
1,2,uniform,4613072,1.541651181257756,0.004440847759135865,1.533604877008635,1.551076192483229
1,2,min,4613072,1.6800078019517313,0.013959598208935753,1.6523353181129272,1.7060943614117485
1,2,harmonic,4613072,1.6789232227580055,0.0144134819457316,1.6492748329467837,1.7063939235033545
2,3,uniform,2115264,1.550360839318627,0.008964006804752197,1.5331980682103037,1.5679584402192623
2,3,min,2115264,1.6520094274835382,0.011996755034729576,1.6288854302672438,1.6765546434020129
2,3,harmonic,2115264,1.647303538103799,0.012183878146704831,1.6240337355307082,1.6712804120803486
