alpha,beta,rho,worst_ratio,M,b0,frac,harmonic_loses
0.1,0.1,1.0,1.0000000000000002,2,2,1.0,1
0.1,0.13894954943731375,0.7196856730011522,1.0000000000000007,10,2,1.0,1
0.1,0.193069772888325,0.5179474679231212,1.0000000000000004,50,2,1.0,1
0.1,0.2682695795279726,0.372759372031494,1.0000000000000004,10,2,1.0,1
0.1,0.372759372031494,0.2682695795279726,1.0000000000000004,2,2,1.0,1
0.1,0.517947467923121,0.19306977288832508,1.0000000000000004,50,2,1.0,1
0.1,0.7196856730011519,0.13894954943731377,1.0000000000000007,2,2,1.0,1
0.1,1.0,0.1,1.0000000000000004,10,2,1.0,1
0.1,1.3894954943731375,0.07196856730011522,1.0000000000000007,50,2,1.0,1
0.1,1.9306977288832496,0.05179474679231213,1.0000000000000007,10,2,1.0,1
0.1,2.6826957952797246,0.03727593720314942,1.0000000000000007,10,2,1.0,1
0.1,3.72759372031494,0.02682695795279726,1.0000000000000004,50,2,1.0,1
0.1,5.17947467923121,0.019306977288832506,1.0000000000000004,50,2,1.0,1
0.1,7.196856730011517,0.013894954943731382,1.0000000000000004,10,2,1.0,1
0.1,10.0,0.01,1.0000000000000004,10,2,1.0,1
0.13894954943731375,0.1,1.3894954943731375,1.0045446959600504,10,2,0.5,1
0.13894954943731375,0.13894954943731375,1.0,1.0000000000000004,50,2,1.0,1
0.13894954943731375,0.193069772888325,0.719685673001152,1.0000000000000004,10,2,1.0,1
0.13894954943731375,0.2682695795279726,0.517947467923121,1.0000000000000002,10,2,1.0,1
0.13894954943731375,0.372759372031494,0.37275937203149395,1.0000000000000004,10,2,1.0,1
0.13894954943731375,0.517947467923121,0.26826957952797265,1.0000000000000007,10,2,1.0,1
0.13894954943731375,0.7196856730011519,0.19306977288832503,1.0000000000000004,10,2,1.0,1
0.13894954943731375,1.0,0.13894954943731375,1.0000000000000002,2,2,1.0,1
0.13894954943731375,1.3894954943731375,0.1,1.0000000000000002,2,2,1.0,1
0.13894954943731375,1.9306977288832496,0.07196856730011521,1.0000000000000004,2,2,1.0,1
0.13894954943731375,2.6826957952797246,0.05179474679231213,1.0000000000000004,5,2,1.0,1
0.13894954943731375,3.72759372031494,0.0372759372031494,1.0000000000000004,2,2,1.0,1
0.13894954943731375,5.17947467923121,0.02682695795279726,1.0000000000000002,2,2,1.0,1
0.13894954943731375,7.196856730011517,0.019306977288832506,1.0000000000000002,2,2,1.0,1
0.13894954943731375,10.0,0.013894954943731375,1.0000000000000002,2,2,1.0,1
0.193069772888325,0.1,1.9306977288832499,1.0134314136912201,5,2,0.55,1
0.193069772888325,0.13894954943731375,1.3894954943731377,1.0045446959600504,10,2,0.5,1
0.193069772888325,0.193069772888325,1.0,1.0000000000000004,10,2,1.0,1
0.193069772888325,0.2682695795279726,0.7196856730011519,1.0000000000000004,10,2,1.0,1
0.193069772888325,0.372759372031494,0.5179474679231211,1.0000000000000004,10,2,1.0,1
0.193069772888325,0.517947467923121,0.37275937203149406,1.0000000000000002,2,5,0.0,1
0.193069772888325,0.7196856730011519,0.2682695795279726,1.0000000000000004,10,2,1.0,1
0.193069772888325,1.0,0.193069772888325,1.0000000000000004,10,2,1.0,1
0.193069772888325,1.3894954943731375,0.13894954943731377,1.0000000000000004,10,2,1.0,1
0.193069772888325,1.9306977288832496,0.10000000000000002,1.0000000000000002,2,2,1.0,1
0.193069772888325,2.6826957952797246,0.07196856730011522,1.0000000000000004,2,2,1.0,1
0.193069772888325,3.72759372031494,0.05179474679231211,1.0000000000000007,10,2,1.0,1
0.193069772888325,5.17947467923121,0.03727593720314941,1.0000000000000004,10,2,1.0,1
0.193069772888325,7.196856730011517,0.026826957952797267,1.0000000000000007,50,2,1.0,1
