alpha,beta,surrogate_h,surrogate_o,ratio_h_over_o
0.05,0.05,4.60598950808445e-06,1.3515165777911178e-05,0.3408015546218719
0.05,0.05,5.6660090772239685e-06,1.6573204524484126e-05,0.3418777019769105
0.05,0.05,4.565218803771809e-06,1.0335720157100183e-05,0.44169334447737596
0.05,0.05,5.92707706367064e-06,1.6875377273384717e-05,0.3512263440189055
0.05,0.05,5.344322758169615e-06,1.675372674486455e-05,0.31899307178373243
0.05,0.05,5.584803977665205e-06,1.9772974234383626e-05,0.28244632858286317
0.05,0.05,4.7229425644321e-06,1.1433441773007611e-05,0.41308143761069
0.05,0.05,4.893412798956496e-06,1.2791736794381884e-05,0.38254483168428527
0.05,0.05,5.366563325412836e-06,3.786307937860772e-05,0.14173605035529396
0.05,0.05,4.889106741892884e-06,1.2469591993044065e-05,0.3920823347403975
0.05,0.05,4.735534070159885e-06,2.2970512022914446e-05,0.2061570967785093
0.05,0.05,4.899387492957245e-06,1.932507937570981e-05,0.2535248315261986
0.05,0.05,4.840347384607599e-06,9.93683961201413e-06,0.4871113526634142
0.05,0.05,4.603155485740397e-06,8.347909599535297e-06,0.551414151154277
0.05,0.05,4.724132716137595e-06,3.8652619308698266e-05,0.12222024795805989
0.05,0.05,5.80560910605961e-06,1.6022107256088624e-05,0.36234990898924346
0.05,0.05,4.346572981337747e-06,1.13420625989279e-05,0.3832259735322395
0.05,0.05,5.0328415551557435e-06,1.1373343980701346e-05,0.44251203196664324
0.05,0.05,4.18590231956216e-06,7.3554210549200974e-06,0.5690907819290886
0.05,0.05,5.0222557541124525e-06,1.0079136041351107e-05,0.49828236601906406
0.05,0.05,5.153550877149193e-06,3.4207807696075244e-05,0.15065422850060262
0.05,0.05,5.485490322384261e-06,2.909502411139229e-05,0.18853706054281605
0.05,0.05,5.102637068926452e-06,1.8773791760649375e-05,0.2717957636891331
0.05,0.05,4.9623658098099245e-06,1.784081784741479e-05,0.27814676727552556
0.05,0.05,5.3360892503489846e-06,1.3276870413083104e-05,0.4019086640395896
0.05,0.05,5.346620570675639e-06,1.2140695008622962e-05,0.4403883440674679
0.05,0.05,4.589278282955276e-06,7.353709109452315e-06,0.6240766686101721
0.05,0.05,4.086864508008684e-06,9.646867079047358e-06,0.4236468145067743
0.05,0.05,4.967489314958406e-06,8.657357312436622e-06,0.5737881821999444
0.05,0.05,4.753019774754444e-06,1.367222617075227e-05,0.34764051701559323
0.05,0.05,5.3075889083099825e-06,8.48256786274582e-06,0.625705446061932
0.05,0.05,5.2326849278610835e-06,8.701790117452597e-06,0.6013343067613454
0.05,0.05,4.731887046671997e-06,1.3056539652429285e-05,0.3624150940936014
0.05,0.05,4.604162779388905e-06,7.798658626587655e-06,0.5903788074133822
0.05,0.05,5.578799178585042e-06,9.543448695851026e-06,0.5845684674776322
0.05,0.05,4.331473386605194e-06,9.278393545035662e-06,0.4668344111058662
0.05,0.05,5.191147532142444e-06,3.028959105650332e-05,0.1713838764762022
0.05,0.05,5.017685666096105e-06,1.8992883141928643e-05,0.26418767643650026
0.05,0.05,5.568096470484802e-06,9.490485340816804e-06,0.5867030262970282
0.05,0.05,5.78189172319425e-06,4.535969360832007e-05,0.1274676097488831
0.05,0.05,5.2522395022842505e-06,9.817857411539525e-06,0.5349679957778746
0.05,0.05,5.497799665242641e-06,1.2850074168831366e-05,0.427841862467836
0.05,0.05,4.526376926362138e-06,7.323570143575217e-06,0.6180560624974711
0.05,0.05,4.997272029567493e-06,1.0166650315012395e-05,0.49153574429410285
0.05,0.05,4.566135682676456e-06,7.647472736367907e-06,0.5970777327471843
0.05,0.05,4.94966806295606e-06,1.3243412158959961e-05,0.37374567849625623
0.05,0.05,5.088750930612893e-06,1.0164288281289651e-05,0.5006500002543444
0.05,0.05,4.701635809307848e-06,1.0169425294878884e-05,0.46233053225490495
0.05,0.05,4.883780912231217e-06,4.843063665751574e-05,0.10084073324841011
0.05,0.05,4.920094508029941e-06,9.94786092290672e-06,0.4945881879691892
0.05,0.05,5.092939753341962e-06,2.1870868073048203e-05,0.23286408826259933
0.05,0.05,4.70205268121797e-06,8.299121590897325e-06,0.5665723329533205
0.05,0.05,4.806477972268824e-06,9.274517810674807e-06,0.518245591887985
0.05,0.05,4.473575074063918e-06,1.4074611244947987e-05,0.31784715017757137
0.05,0.05,5.58638564006147e-06,1.6560749680125206e-05,0.3373268570544105
0.05,0.05,5.218099539210067e-06,9.067878427437028e-06,0.5754487756939333
0.05,0.05,5.011634001580969e-06,8.566299355712496e-06,0.5850407268617022
0.05,0.05,4.817871860026535e-06,9.569982089489301e-06,0.50343582829878
0.05,0.05,4.908491306815253e-06,1.539921536379717e-05,0.31874944215371426
0.05,0.05,4.793119861130205e-06,1.068082880895905e-05,0.4487591690552843
0.05,0.05,4.918963860292786e-06,1.3441757940937674e-05,0.36594646934622954
0.05,0.05,5.3273902371329216e-06,1.2512543263242485e-05,0.4257639813948094
0.05,0.05,4.607156901820698e-06,1.0728486050706347e-05,0.4294321566011981
0.05,0.05,4.772597791955479e-06,2.0167541420058823e-05,0.2366474768812727
0.05,0.05,5.0578340655181515e-06,1.4463047560801089e-05,0.349707352081611
0.05,0.05,4.29680295320191e-06,2.1334229862712153e-05,0.20140417445824177
0.05,0.05,4.737866235624128e-06,9.567586836680437e-06,0.49519971090933673
0.05,0.05,4.221714202493572e-06,9.09371457160808e-06,0.464245294840723
0.05,0.05,5.271188510542905e-06,1.2655546021035994e-05,0.41651213640100226
0.05,0.05,4.91485527109254e-06,1.2902171974971643e-05,0.38093239499726494
0.05,0.05,5.264580955796863e-06,1.1763730695769159e-05,0.44752647709712334
0.05,0.05,4.7030991209426605e-06,1.3474672991534803e-05,0.3490325237500969
0.05,0.05,5.1554911086027134e-06,1.0476959866479756e-05,0.49207892120473984
0.05,0.05,4.972896844396046e-06,1.6158726021674112e-05,0.30775302692339557
0.05,0.05,5.048934575233096e-06,2.911726075699093e-05,0.17340005357546787
0.05,0.05,4.414511145338386e-06,1.4208477835654139e-05,0.31069557178467094
0.05,0.05,5.043928281198835e-06,1.4737820743541101e-05,0.34224383434771743
0.05,0.05,5.3404612038936925e-06,1.4861379895126223e-05,0.35935163770660977
0.05,0.05,4.61483936465217e-06,1.0390251163887191e-05,0.44415089605261
0.05,0.05,5.005603462709974e-06,1.3777639836870636e-05,0.36331356618238575
0.05,0.05,4.9121659741858955e-06,3.4105601116760283e-05,0.14402813066889308
0.05,0.05,5.408610172186934e-06,1.8326614317018425e-05,0.29512326055579186
0.05,0.05,4.756492574426553e-06,3.323155912358575e-05,0.14313179098029988
0.05,0.05,5.530396101815433e-06,1.8783556528996715e-05,0.2944275272511892
