k,kp,alpha,beta,scheme,n_pairs,Vk,Vkp,symmetric_Vk_plus_Vkp,asymmetric_aVk_plus_bVkp
1,2,0.5,1,uniform,21841,2.999818358981205e-05,3.239428727086422e-05,6.239247086067628e-05,4.739337906577025e-05
1,2,0.5,1,min,21841,1.242082071669543e-05,1.4212884622192787e-05,2.6633705338888215e-05,2.04232949805405e-05
1,2,0.5,1,harmonic,21841,1.1417425633862873e-05,1.4188044331942506e-05,2.5605469965805377e-05,1.9896757148873943e-05
2,3,1.0,2,uniform,7993,7.866823580761207e-05,9.836731763028445e-05,0.0001770355534378965,0.00027540287106818097
2,3,1.0,2,min,7993,3.860241032882473e-05,5.33293266079253e-05,9.193173693675002e-05,0.00014526106354467532
2,3,1.0,2,harmonic,7993,3.298722971770235e-05,5.521111716274878e-05,8.819834688045112e-05,0.0001434094640431999
