scheme,qcluster_boot_SE,plugin_SE,qcluster_ARE_vs_uniform,plugin_ARE_vs_uniform
uniform,0.004625347330298584,0.0042,1.0,1.0
harmonic,0.02679165000402063,0.002,0.029805044814064693,4.53
