alpha,beta,mean_ratio,max_ratio,frac_h_loses
0.05,0.05,0.3833430286544133,0.663055262441353,0.0
0.05,0.2811706625951745,0.41087407451403396,0.7733737114144811,0.0
0.05,1.5811388300841895,0.4393903171682,0.9287274798722233,0.0
0.05,8.891397050194612,0.43051510389726066,0.9091514810972119,0.0
0.05,50.0,0.43754386990591554,0.8948209232201404,0.0
0.2811706625951745,0.05,0.4154722882342833,0.7709517097430677,0.0
0.2811706625951745,0.2811706625951745,0.4169482047064184,0.754128686421711,0.0
0.2811706625951745,1.5811388300841895,0.4165567079029276,0.7935142218466515,0.0
0.2811706625951745,8.891397050194612,0.43726766035801473,0.9118646342745708,0.0
0.2811706625951745,50.0,0.4321480689169295,0.8057809570455732,0.0
1.5811388300841895,0.05,0.43857847903049674,0.8537297039070649,0.0
1.5811388300841895,0.2811706625951745,0.40109817902128775,0.7228330273024206,0.0
1.5811388300841895,1.5811388300841895,0.3883358500895286,0.7409147557282452,0.0
1.5811388300841895,8.891397050194612,0.39354504507704086,0.7317817419324663,0.0
1.5811388300841895,50.0,0.44792453302831065,0.8211574279660523,0.0
8.891397050194612,0.05,0.42880231218492176,0.9142705224809105,0.0
8.891397050194612,0.2811706625951745,0.4196214940868432,0.842895526332079,0.0
8.891397050194612,1.5811388300841895,0.4226201939798082,0.7821367135818748,0.0
8.891397050194612,8.891397050194612,0.4061488871923863,0.7530695445550173,0.0
8.891397050194612,50.0,0.4082563488272605,0.7349190969551891,0.0
50.0,0.05,0.44051131721304465,0.8644714055037499,0.0
50.0,0.2811706625951745,0.43915664537248084,0.9127935843003415,0.0
50.0,1.5811388300841895,0.43176383761668924,0.835023258658456,0.0
50.0,8.891397050194612,0.41981742937848665,0.7324717826335951,0.0
50.0,50.0,0.4095094215074434,0.7890437823062838,0.0
