k,kp,alpha,beta,scheme,n_pairs,Vk,Vkp,symmetric_Vk_plus_Vkp,asymmetric_aVk_plus_bVkp
1,2,0.5,1,uniform,4613072,1.2568774274881765e-07,1.3428879794463404e-07,2.5997654069345166e-07,1.9713266931904286e-07
1,2,0.5,1,min,4613072,2.623344547099871e-08,2.9360453306734633e-08,5.5593898777733346e-08,4.247717604223399e-08
1,2,0.5,1,harmonic,4613072,2.4410873575730483e-08,2.9285933986355428e-08,5.369680756208591e-08,4.149137077422067e-08
2,3,1.0,2,uniform,2115264,2.516092179347336e-07,3.1979825326603956e-07,5.714074712007731e-07,8.912057244668127e-07
2,3,1.0,2,min,2115264,6.27647130131152e-08,9.208000289762005e-08,1.5484471591073526e-07,2.469247188083553e-07
2,3,1.0,2,harmonic,2115264,5.3718637976116096e-08,9.544146401968056e-08,1.4916010199579664e-07,2.446015660154772e-07
