pair_k,pair_kp,n_pairs,n_imps,scheme,R_hat,SE,V,ARE_vs_uniform,ESS
1,2,4613072,132337271,uniform,1.6834081771119929,0.0042357325510919775,6.331085754577121e-06,1.0,4613072.0
1,2,4613072,132337271,min,1.7121604259623937,0.002051109618146437,1.4351220352021067e-06,4.411531283947933,2526.169068671077
1,2,4613072,132337271,harmonic,1.7095161964841468,0.0020219398605199478,1.3989108174090615e-06,4.525725068237728,1849.4539546217613
2,3,2115264,54473258,uniform,1.828404304399975,0.009475193061743596,2.6855402469753182e-05,1.0,2115264.0
2,3,2115264,54473258,min,1.738063768520362,0.005108521902250998,8.638913124005864e-06,3.1086552306131225,3972.5003606961095
2,3,2115264,54473258,harmonic,1.7302763757595918,0.005061110006095851,8.55579948223178e-06,3.1388536542406147,4124.165115571868
