scheme,R,SE,V,ARE_vs_U,ESS
uniform,1.6834081771119929,0.0042357325510919775,6.331085754577121e-06,1.0,4613072.0
min,1.7121604259623937,0.002051109618146437,1.4351220352021067e-06,4.411531283947933,2526.169068671077
geometric,1.7054544801687488,0.0022761543521260114,1.7812429328213745e-06,3.554307858810189,1246.0337462384337
log_min,1.6505940193629014,0.00317465078518507,3.699230425974866e-06,1.711460229706744,3173971.4841058752
harmonic,1.7095161964841468,0.0020219398605199478,1.3989108174090615e-06,4.525725068237728,1849.4539546217613
harmonic_cap99,1.605717834902785,0.0024005725774136726,2.235070461867153e-06,2.832611258836199,765044.5624961157
