scheme,mean_R,bias,SE,RMSE,true_R
uniform,2.003476324797321,0.003476324797321073,0.054868140585035405,0.05492337079653033,2.0
min,2.002585727615217,0.002585727615216804,0.04083527158627246,0.040876281068777255,2.0
harmonic,2.0024902404795233,0.002490240479523287,0.039776025947164124,0.03981418432311571,2.0
pbm_em,2.0018548269016367,0.0018548269016367414,0.03457327490379331,0.03458845324285481,2.0
