config,scheme,mse,variance,bias2
uniform,original,0.0002901819240813797,0.0002888390638922701,1.3428601891096224e-06
uniform,harmonic,0.00027191023077836174,0.00027009244493856786,1.8177858397939439e-06
production,original,0.0008053940141017053,0.0007951101327929391,1.0283881308766284e-05
production,harmonic,0.0006666826268558505,0.0006517432798327961,1.4939347023054336e-05
