scheme,mse,variance,bias2
harmonic,0.001744578561999913,0.0017350304613429415,9.548100656971316e-06
adaptive_2iter,0.06827461156000882,0.0055274374374763,0.06274717412253253
adaptive_3iter,0.0682746115561371,0.005527437434517071,0.06274717412162002
